Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/friends,469,1,190.0,2002.2546791914367,164.44049985148013,89473.25174999423,42.0682302771855,2.744853856460227,0.005852566858124152,190,230,390,930,4200,6500,25000,53000,89000,89000,89000
GET,GET /api/friends/all,432,1,190.0,2656.509399956795,164.68262486159801,143631.88400003128,0.7060185185185185,2.5283088827096334,0.005852566858124152,190,220,330,700,3800,7300,46000,55000,144000,144000,144000
GET,GET /api/friends/search,549,7,210.0,4951.022796762025,165.5680420808494,138372.0503328368,6685.879781420765,3.213059205110159,0.04096796800686906,210,290,820,1800,6500,23000,81000,128000,138000,138000,138000
GET,GET /api/groups,357,57,830.0,14637.072280441289,386.40216598287225,145481.69787507504,251.7058823529412,2.089366368350322,0.3335963109130766,830,1500,2500,4400,65000,92000,128000,136000,145000,145000,145000
GET,GET /api/groups/[id]/details,325,8,210.0,2873.3417392056435,183.30270797014236,140064.22725017183,138.76615384615386,1.9020842288903492,0.04682053486499321,210,260,340,470,3500,5700,50000,55000,140000,140000,140000
GET,GET /api/groups/[id]/members,296,7,210.0,3215.9433008440633,179.47887489572167,130008.52933386341,27.824324324324323,1.7323597900047487,0.04096796800686906,210,230,340,440,2500,6500,57000,102000,130000,130000,130000
GET,GET /api/groups/[id]/messages,268,1,210.0,1258.9786692996815,177.46091703884304,71705.9394591488,2.0634328358208953,1.5684879179772726,0.005852566858124152,210,220,250,300,640,3000,5100,54000,72000,72000,72000
GET,GET /api/messages,528,3,200.0,2994.6266359629312,166.3674172013998,139142.940542195,2.096590909090909,3.0901553010895517,0.017557700574372455,200,280,710,1900,4500,6900,38000,73000,139000,139000,139000
POST,POST /api/friends/add,511,4,200.0,3373.8647138822,165.03141704015434,134540.2445839718,38.31115459882583,2.990661664501441,0.023410267432496606,200,260,690,1900,4700,8100,46000,90000,135000,135000,135000
POST,POST /api/groups/[id]/send,246,0,190.0,1260.6093383004238,165.48091592267156,74029.95083294809,186.0,1.4397314470985412,0.0,190,200,250,300,1400,3200,8300,37000,74000,74000,74000
POST,POST /api/groups/create,414,4,220.0,3238.6732709392736,180.06379203870893,141440.83474995568,184.19323671497585,2.4229626792633985,0.023410267432496606,220,310,780,1600,4800,7200,51000,70000,141000,141000,141000
POST,POST /api/messages/send,566,3,200.0,2513.99123234314,170.2755829319358,76053.52766695432,38.89399293286219,3.3125528416982695,0.017557700574372455,200,300,860,1900,4600,6600,40000,54000,76000,76000,76000
POST,POST /api/users/login,458,22,770.0,6222.18801118952,164.62441580370069,138970.04733304493,232.65720524017468,2.6804756210208613,0.12875647087873132,820,2400,3600,4900,8100,48000,88000,97000,139000,139000,139000
POST,POST /api/users/register,485,1,2100.0,6936.591475091625,255.23008382879198,123616.39220779762,95.8020618556701,2.8384949261902133,0.005852566858124152,2100,4600,6300,8400,11000,14000,89000,102000,124000,124000,124000
,Aggregated,5904,119,240.0,4208.4068032773475,164.44049985148013,145481.69787507504,703.262364498645,34.553554730364986,0.696455456116774,240,540,1300,2300,5700,13000,65000,90000,140000,145000,145000
